id,name,capacity
1,"Sir Bob Building",500
2,"Innovate Center",1000
3,"Discovery Hall",800
4,"Creative Arts Plaza",600
5,"Commerce Hub",1200
6,"Health & Wellness Center",700
7,"Culinary Square",900
8,"Green Convention Center",500
9,"Harmony Park",1000
10,"Learning Pavilion",800
11,"Chic Arena",600
12,"Pixel Palace",1200
13,"Cinema City",700
14,"Innovation Tower",900
15,"Word Haven",500
16,"Tech Plaza",1000
17,"Wellbeing Center",800
18,"Speed Circuit",600
19,"Global Pavilion",1200
20,"Festive Square",700
21,"Tech Innovation Hub",900
22,"Taste Buds Arena",500
23,"Explore Dome",1000
24,"Creative Corner",800
25,"Digital Arena",600
26,"Future Thinkers Hall",1200
27,"Style Showcase",700
28,"Eco Center",900
29,"Soulful Park",500
30,"Learning Pavilion",1000
31,"VR World",800
32,"Game Arena",600
33,"Cinematic City",1200
34,"Business Nexus",700
35,"Literary Land",900
36,"Tech Frontier",500
37,"Holistic Haven",1000
38,"Speed Circuit",800
39,"Global Pavilion",600
40,"Frosty Fairground",1200
41,"Celestial Dome",700
42,"Delicious Delight Plaza",900
43,"Adventurous Arena",500
44,"Artistic Alley",1000
45,"Digital Dynamo Hall",800
46,"Future Thinkers Hall",600
47,"Style Studio",1200
48,"Eco Solutions Center",700
49,"Blissful Blues Park",900
50,"Learn and Excel Pavilion",500
51,"VR Experience Zone",1000
52,"Game Master Arena",800
53,"Cinematic Celebration City",600
54,"Business Brilliance Nexus",1200
55,"Literary Love Land",700
56,"Tech Marvel Frontier",900
57,"Holistic Harmony Haven",500
58,"Drive into the Future Pavilion",1000
59,"World of Opportunities Pavilion",800
60,"Frosty Fairground",600
61,"Celestial Wonder Dome",1200
62,"Delicious Delicacies Culinary Plaza",700
63,"Adrenaline Rush Adventure Arena",900
64,"Artistic Achievements and Handcrafted Arts Alley",500
65,"Digital Dynamo Mastery and Marketing Trends Hall",1000
66,"NextGen Insights and Technology Hall",800
67,"Style Vision Studio and Fashion Trends Zone",600
68,"Eco Harmony Solutions and Sustainable Living Center",1200
69,"Harmonious Jazz and Blissful Blues Music Park",700
70,"Learn and Thrive Pavilion",900
71,"VR World Experience Zone",500
72,"Game Master Ultimate Arena",1000
73,"Cinematic Realities Celebration City",800
74,"Business Brilliance and Future Nexus",600
75,"Literary Love for Knowledge Land",1200
76,"Tech Wonders Marvel Frontier",700
77,"Holistic Harmony and Wellbeing Haven",900
78,"Drive into the Future Automotive Pavilion",500
79,"World of Opportunities Global Pavilion",1000
80,"Frosty Fantasy Spectacular Fairground",800
81,"Celestial Wonders Marvel Dome",600
82,"Delicious Delicacies Culinary Plaza",1200
83,"Adrenaline Rush Adventure Arena",700
84,"Artistic Achievements and Handcrafted Arts Alley",900
85,"Digital Dynamo Mastery and Marketing Trends Hall",500
86,"NextGen Insights and Technology Hall",1000
87,"Style Vision Studio and Fashion Trends Zone",800
88,"Eco Harmony Solutions and Sustainable Living Center",600
89,"Harmonious Jazz and Blissful Blues Music Park",1200
90,"Learn and Thrive Pavilion",700
91,"VR World Experience Zone",900
92,"Game Master Ultimate Arena",500
93,"Cinematic Realities Celebration City",1000
94,"Business Brilliance and Future Nexus",800
95,"Literary Love for Knowledge Land",600
96,"Tech Wonders Marvel Frontier",1200
97,"Holistic Harmony and Wellbeing Haven",700
98,"Drive into the Future Automotive Pavilion",900
99,"World of Opportunities Global Pavilion",500
100,"Frosty Fantasy Spectacular Fairground",1000
