id,title,venueId,startDate,endDate,description
id,title,venueId,startDate,endDate,description
1,Mental Health Awareness Day,26,2024-02-15T10:00:00.000Z,2024-02-15T12:00:00.000Z,Promoting mental health awareness and destigmatizing mental health issues.
2,Tech Expo 2024,10,2024-02-16T14:00:00.000Z,2024-02-16T16:00:00.000Z,"Showcasing the latest in technology, innovations, and cutting-edge developments."
3,Science Symposium,6,2024-02-18T09:30:00.000Z,2024-02-18T11:30:00.000Z,"Bringing together scientists, researchers, and enthusiasts to discuss breakthroughs in various scientific fields."
4,Art Festival,29,2024-02-20T12:00:00.000Z,2024-02-20T14:00:00.000Z,"Celebrating diverse forms of art, featuring exhibitions, workshops, and live demonstrations."
5,Business Conference,40,2024-02-23T08:00:00.000Z,2024-02-23T10:00:00.000Z,"Focusing on business strategies, leadership, and fostering collaboration among industry leaders."
6,Fitness Expo,15,2024-02-25T10:00:00.000Z,2024-02-25T12:00:00.000Z,"Promoting a healthy lifestyle with fitness demonstrations, wellness workshops, and nutritional guidance."
7,Food Festival,24,2024-02-27T18:00:00.000Z,2024-02-27T20:00:00.000Z,"A culinary extravaganza featuring diverse cuisines, cooking competitions, and tastings."
8,Environmental Summit,19,2024-02-01T09:00:00.000Z,2024-02-01T11:00:00.000Z,Addressing environmental challenges and exploring sustainable solutions for a greener future.
9,Music Festival,49,2024-02-03T16:00:00.000Z,2024-02-03T18:00:00.000Z,"A celebration of music with live performances, workshops, and a showcase of diverse musical genres."
10,Educational Expo,29,2024-02-06T12:30:00.000Z,2024-02-06T14:30:00.000Z,"Highlighting educational opportunities, resources, and fostering a love for learning."
11,Fashion Show,49,2024-02-08T15:00:00.000Z,2024-02-08T17:00:00.000Z,"Showcasing the latest fashion trends, designs, and creative expressions in the world of fashion."
12,Gaming Convention,6,2024-02-11T11:00:00.000Z,2024-02-11T13:00:00.000Z,"Bringing together gaming enthusiasts, developers, and industry professionals to explore the world of gaming."
13,Film Festival,44,2024-02-14T13:00:00.000Z,2024-02-14T15:00:00.000Z,"Featuring a diverse selection of films, documentaries, and discussions with filmmakers."
14,Startup Summit,3,2024-02-17T09:00:00.000Z,2024-02-17T11:00:00.000Z,"Showcasing innovative startups, networking opportunities, and discussions on entrepreneurship."
15,Literary Symposium,19,2024-02-20T14:00:00.000Z,2024-02-20T16:00:00.000Z,"Exploring literature, authors, and literary discussions in a vibrant symposium setting."
16,Technology Forum,35,2024-02-23T10:30:00.000Z,2024-02-23T12:30:00.000Z,"Bringing together tech experts, thought leaders, and enthusiasts to discuss the latest in technology trends."
17,Health and Wellness Expo,28,2024-02-26T08:00:00.000Z,2024-02-26T10:00:00.000Z,"Promoting holistic health and wellbeing with interactive exhibits, workshops, and health screenings."
18,Automotive Show,50,2024-02-28T12:00:00.000Z,2024-02-28T14:00:00.000Z,"Showcasing the latest automotive innovations, designs, and future trends in the automotive industry."
19,International Trade Fair,45,2024-02-01T09:00:00.000Z,2024-02-01T11:00:00.000Z,"Fostering global trade, connecting businesses, and exploring international opportunities."
20,Artisan Market,36,2024-02-04T11:00:00.000Z,2024-02-04T13:00:00.000Z,"Featuring handmade crafts, artworks, and artisanal products from local artisans and makers."
21,Culinary Expo,21,2024-02-07T16:00:00.000Z,2024-02-07T18:00:00.000Z,"A culinary showcase highlighting gourmet foods, culinary demonstrations, and tastings."
22,Innovation Symposium,14,2024-02-10T13:00:00.000Z,2024-02-10T15:00:00.000Z,"Exploring innovation across various industries, featuring keynote speakers and panel discussions."
23,Music Concert,9,2024-02-13T18:00:00.000Z,2024-02-13T20:00:00.000Z,"A live music extravaganza featuring top artists, bands, and performances across different musical genres."
24,Youth Leadership Summit,33,2024-02-16T10:00:00.000Z,2024-02-16T12:00:00.000Z,"Empowering youth leaders with skills, resources, and networking opportunities for community impact."
25,Travel Expo,42,2024-02-19T14:00:00.000Z,2024-02-19T16:00:00.000Z,"Exploring travel destinations, adventure activities, and travel tips for enthusiasts and adventurers."
26,Healthcare Innovation Conference,2,2024-02-22T08:00:00.000Z,2024-02-22T10:00:00.000Z,"Showcasing innovations, advancements, and breakthroughs in healthcare technology and patient care."
27,Fitness Challenge,15,2024-02-25T14:30:00.000Z,2024-02-25T16:30:00.000Z,"A fitness competition promoting physical activity, healthy living, and friendly competition among participants."
28,Food and Drink Expo,39,2024-02-28T17:00:00.000Z,2024-02-28T19:00:00.000Z,"Featuring a diverse range of food and beverage products, tastings, and culinary experiences."
29,Education Summit,3,2024-02-01T13:00:00.000Z,2024-02-01T15:00:00.000Z,"A summit focusing on educational policies, innovations, and strategies to enhance learning outcomes."
30,Fashion Expo,50,2024-02-04T15:00:00.000Z,2024-02-04T17:00:00.000Z,"Showcasing fashion brands, designers, and the latest trends in clothing, accessories, and style."
31,Green Living Exhibition,19,2024-02-07T09:30:00.000Z,2024-02-07T11:30:00.000Z,"Promoting sustainable living practices, eco-friendly products, and environmental conservation efforts."
32,Digital Marketing Conference,8,2024-02-10T11:00:00.000Z,2024-02-10T13:00:00.000Z,"Exploring digital marketing strategies, trends, and best practices for business growth and brand promotion."
33,Art Workshop,29,2024-02-13T15:00:00.000Z,2024-02-13T17:00:00.000Z,"A creative workshop offering hands-on art experiences, techniques, and guidance from experienced artists."
34,Startup Pitch Competition,3,2024-02-16T09:00:00.000Z,2024-02-16T11:00:00.000Z,"A platform for startups to pitch their ideas, gain exposure, and compete for funding and support."
35,Culinary Masterclass,21,2024-02-19T16:30:00.000Z,2024-02-19T18:30:00.000Z,"A culinary learning experience with master chefs, culinary tips, and gourmet cooking demonstrations."
36,Environmental Awareness Campaign,31,2024-02-22T10:30:00.000Z,2024-02-22T12:30:00.000Z,"Raising awareness about environmental issues, conservation efforts, and sustainable practices."
37,Dance Workshop,5,2024-02-25T15:00:00.000Z,2024-02-25T17:00:00.000Z,"An interactive dance workshop offering instruction, choreography, and dance performances across various styles."
38,Health and Fitness Seminar,37,2024-02-28T09:00:00.000Z,2024-02-28T11:00:00.000Z,"Educational seminars on health, fitness, and wellness topics, featuring expert speakers and discussions."
39,Virtual Reality World Showcase,28,2024-02-05T15:00:00.000Z,2024-02-05T17:00:00.000Z,Showcasing the latest advancements in virtual reality technology and experiences.
40,E-Sports Championship Tournament,14,2024-02-08T11:00:00.000Z,2024-02-08T13:00:00.000Z,A competitive gaming championship featuring top esports players and thrilling matches.
41,International Documentary Film Festival,25,2024-02-11T13:00:00.000Z,2024-02-11T15:00:00.000Z,"Screening a selection of international documentary films, followed by discussions with filmmakers."
42,Entrepreneurial Excellence and Innovation Summit,34,2024-02-14T09:00:00.000Z,2024-02-14T11:00:00.000Z,"Empowering entrepreneurs with insights, networking opportunities, and discussions on business success."
43,Bookworms Haven Fair,11,2024-02-17T14:00:00.000Z,2024-02-17T16:00:00.000Z,"A haven for book lovers, featuring a wide selection of books, author signings, and literary discussions."
44,AI and Robotics Marvel Exhibition,25,2024-02-20T10:30:00.000Z,2024-02-20T12:30:00.000Z,Exploring the latest developments and applications in artificial intelligence and robotics.
45,Wellness and Lifestyle Harmony Expo,12,2024-02-23T08:00:00.000Z,2024-02-23T10:00:00.000Z,"Promoting holistic health and wellbeing with interactive exhibits, workshops, and health screenings."
46,Automotive Innovation and Future Fair,16,2024-02-25T12:00:00.000Z,2024-02-25T14:00:00.000Z,"Showcasing futuristic automotive concepts, innovations, and sustainable mobility solutions."
47,International Fashion Extravaganza,49,2024-02-28T10:00:00.000Z,2024-02-28T12:00:00.000Z,"A global showcase of fashion trends, designers, and cultural influences shaping the world of fashion."
48,Youth Empowerment Conference,32,2024-02-01T13:30:00.000Z,2024-02-01T15:30:00.000Z,"Empowering youth with leadership skills, confidence-building activities, and inspirational talks."
49,Musician's Jam Session,9,2024-02-04T18:00:00.000Z,2024-02-04T20:00:00.000Z,"An informal gathering of musicians, singers, and music enthusiasts for jamming and collaborative music-making."
50,International Cultural Festival,18,2024-02-07T16:30:00.000Z,2024-02-07T18:30:00.000Z,"A celebration of cultural diversity with performances, exhibitions, and culinary delights from around the world."
51,Global Business Summit,27,2024-02-10T11:30:00.000Z,2024-02-10T13:30:00.000Z,"Bringing together business leaders, policymakers, and experts to discuss global economic trends and strategies for growth."
52,Artisanal Chocolate Fair,6,2024-02-13T14:00:00.000Z,2024-02-13T16:00:00.000Z,"Indulge in a variety of artisanal chocolates, confections, and chocolate-inspired creations from local chocolatiers."
53,Technology and Innovation Expo,23,2024-02-16T09:30:00.000Z,2024-02-16T11:30:00.000Z,"Showcasing the latest advancements in technology, gadgets, and innovations revolutionizing various industries."
54,Youth Leadership Conference,31,2024-02-19T14:30:00.000Z,2024-02-19T16:30:00.000Z,"Empowering young leaders with workshops, networking sessions, and inspirational talks on leadership and social impact."
